zid,address,zipcode,alat,alon,valuation,value_change,value_range_high,value_range_low,sqft,value_sqft,lot_sqft,year_built,last_sold_date,last_sold_price
29367074.0,17001 South Ridge Lane,78734,30.418081,-97.944796,594574.0,1489.0,665923.0,487551.0,1995.0,298.03,29595.0,1993.0,,
70339281.0,11204 Wet Season,78754,30.372774,-97.653121,283501.0,882.0,297676.0,269326.0,1799.0,157.59,6882.0,2005.0,05/17/2015,
243339782.0,13700 Sage Grouse Drive,78729,30.466063000000002,-97.761643,296475.0,-4516.0,311299.0,281651.0,2106.0,140.78,,2016.0,10/09/2018,248245.0
29367465.0,5907 Sierra Madre,78759,30.419921000000002,-97.755832,564116.0,-2675.0,603604.0,518987.0,3240.0,174.11,22028.0,1966.0,,
83124873.0,12012 Montclair Way,78732,30.341565999999997,-97.90929,506461.0,1713.0,531784.0,481138.0,3406.0,148.7,9626.0,2008.0,,
29374583.0,10901 Pickfair Drive,78750,30.438328000000002,-97.81044200000001,507709.0,-1932.0,553403.0,482324.0,2489.0,203.98,22189.0,1984.0,,
144352148.0,11120 Lambert Lane,78719,30.116346000000004,-97.67958,403283.0,29456.0,524268.0,310528.0,959.0,420.52,1880050.0,1930.0,,
29471257.0,8405 Linden Loop,78617,30.132658000000003,-97.593266,165822.0,4101.0,185721.0,149240.0,1456.0,113.89,87120.0,1983.0,,
64673863.0,18216 Great Valley Drive,78653,30.325121999999997,-97.528921,151299.0,304.0,161890.0,131630.0,1076.0,140.61,10071.0,2003.0,,
52830622.0,15128 Thatcher Drive,78717,30.495069,-97.76904300000001,431074.0,-2873.0,452628.0,409520.0,3395.0,126.97,7865.0,2001.0,,
58301372.0,6809 Colony Loop Drive,78724,30.29937,-97.640539,131122.0,-8603.0,154724.0,121943.0,930.0,140.99,6969.0,1985.0,,
29416023.0,6103 Shoalwood Avenue,78757,30.3375,-97.742008,530863.0,-4763.0,583949.0,504320.0,956.0,555.3,12245.0,1950.0,07/19/1991,69000.0
