Unnamed,Latitude,Longitude,School_Name,School_Address,School_Rating,zipcode
947,30.103854,-97.673028,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4,78729
446,30.10387,-97.728848,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78734
4060,30.104541,-97.717166,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
7207,30.104918,-97.513679,Cedar Creek High School,"793 Union Chapel Road, Cedar Creek, TX  78612",4,78612
5868,30.105132,-97.718726,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
66,30.105269,-97.679548,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78759
66,30.105269,-97.679548,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4,78759
697,30.105578,-97.685253,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78749
697,30.105578,-97.685253,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4,78749
7316,30.105598,-97.719361,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
8424,30.105993,-97.674968,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78617
3889,30.106192,-97.536599,Cedar Creek High School,"793 Union Chapel Road, Cedar Creek, TX  78612",4,78612
496,30.106325,-97.547872,Cedar Creek High School,"793 Union Chapel Road, Cedar Creek, TX  78612",4,78612
899,30.10686,-97.748721,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4,78758
899,30.10686,-97.748721,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78758
1848,30.107021,-97.722311,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
1429,30.107131,-97.72301,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
1776,30.107191,-97.696852,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
484,30.107525,-97.698309,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78681
1952,30.107711,-97.727885,Akins High School,"10701 South 1st Street, Austin, TX  78748",4,78748
6274,30.108302,-97.509753,Cedar Creek High School,"793 Union Chapel Road, Cedar Creek, TX  78612",4,78612
479,30.109025,-97.674944,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4,78758
