alat,alon,year_built
30.178909,-97.916041,2008
30.296762,-97.970776,2001
30.465649,-97.939509,1985
30.449938,-97.519639,2000
30.415695,-97.875997,1997
30.243769,-97.908742,1977
30.199561,-97.89828,2005
30.370327,-97.687898,1982
30.296372,-97.687425,1959
30.472796,-97.628507,2000
30.287133,-97.858771,1999
30.389193,-97.521469,1975
30.412358,-97.938735,1998
30.274022,-97.686228,1940
30.232263,-97.594082,2009
30.229725,-97.797434,1968
30.360303,-97.645017,2006
30.221882,-97.777571,1959
30.531157,-97.712619,1994
30.27886,-97.86711,1983
30.300704,-97.809978,1976
30.222633,-97.870023,1988
30.376558,-97.980986,1998
30.150519,-97.743235,2007
30.382216,-97.608176,1982
30.488728,-97.57696,1986
30.537866,-97.732318,2008
30.165197,-97.836338,2003
30.271332,-97.470825,1996
30.124953,-97.742819,1997
30.399595,-97.65506,2006
30.150319,-97.841207,2004
30.426203,-97.607741,1984
30.316624,-97.833576,1982
30.555033,-97.750304,1993
30.391116,-97.688024,1978
30.066596,-97.674533,2004
30.406831,-97.769593,1981
30.322931,-97.791311,1984
30.192947,-97.7,1965
30.040866,-97.706463,1996
30.259658,-97.667882,2011
30.072851,-97.743168,1950
30.249771,-97.782424,1977
30.531776,-97.843584,2000
30.309098,-97.782403,2008
30.392142,-97.536467,1900
30.377137,-97.512876,2006
30.29153,-97.841913,1973
30.246418,-97.933666,1976
30.285978,-97.921937,1995
30.164119,-97.593469,1990
30.384547,-97.831004,1995
30.361921,-97.898568,2004
30.417219,-97.628913,1984
30.286877,-97.933258,2008
30.409026,-97.631923,2000
30.25386,-97.894896,2003
30.341907,-97.914923,2009
30.125785,-97.732833,1984
30.553459,-97.735987,1996
30.227297,-97.591348,2005
30.335285,-97.869379,2002
30.422924,-97.964653,1983
30.385613,-97.930519,2005
30.27616,-97.885852,2014
30.204144,-97.874512,2001
30.391451,-97.70002,1981
30.271457,-97.724499,1967
30.272463,-97.619581,2008
30.21373,-97.801387,1968
30.180009,-97.916078,2010
30.353106,-97.513084,2009
30.367123,-97.707275,1971
30.124498,-97.687914,1976
30.49766,-97.746513,2000
30.291622,-97.704485,2008
30.511147,-97.891644,1998
30.24204,-97.744786,1933
30.135719,-97.836692,1997
30.144887,-97.576851,1986
30.273434,-97.778028,1954
30.143994,-97.820694,1976
30.50128,-97.838213,1991
30.277683,-97.87253,2007
30.30195,-97.674579,1959
30.392749,-97.806278,1997
30.442545,-97.819499,1992
30.186935,-97.820103,1994
30.219992,-97.937825,2010
30.265029,-97.813599,1970
30.283321,-97.460753,1995
30.118415,-97.593551,2001
30.397232,-97.694473,1985
30.152415,-97.746405,2008
30.501061,-97.873888,1979
30.280048,-97.460189,1996
30.486235,-97.594363,1985
30.166005,-97.823828,2011
30.367794,-97.981786,1984
30.005589,-97.715872,1946
30.340963,-97.978846,2001
30.364027,-97.893808,2012
30.490437,-97.625109,1997
30.042264,-97.709773,1995
30.423186,-97.941349,2005
30.377291,-97.960731,1959
30.298669,-97.629954,1978
30.38857,-97.804245,1995
30.398003,-97.973347,2011
30.504145,-97.903778,2002
30.342854,-97.880045,2001
30.379454,-97.894665,1993
30.336874,-97.904713,1983
30.430931,-97.804951,1974
30.192798,-97.513844,1981
30.294008,-97.760075,2006
30.325446,-97.981016,2009
30.390628,-97.918373,2012
30.276636,-97.481599,1997
30.366715,-97.969552,1987
30.362708,-97.766359,1965
30.264743,-97.812475,1972
30.268089,-97.861975,2007
30.321503,-97.795978,1985
30.153029,-97.64884,2005
30.335511,-97.767896,1958
30.389055,-97.851351,2007
30.453076,-97.516043,1950
30.505776,-97.736836,2002
30.285924,-98.026142,2014
30.347936,-97.765904,1983
30.417465,-97.510954,2012
30.291425,-97.969068,1984
30.345243,-97.68798,1979
30.407594,-97.503146,2002
30.182462,-97.754769,1973
30.365342,-97.760766,1969
30.53706,-97.663859,1999
30.203018,-97.938808,1984
30.209602,-97.549424,1996
30.43091,-97.705952,1973
30.22203,-97.522521,1981
30.112436,-97.718201,1989
30.29829,-97.477273,2011
30.300368,-97.793973,2010
30.347792,-97.772826,1986
30.242854,-97.906923,1974
30.293649,-97.68665,1960
30.245301,-97.745478,1939
30.305334,-97.527624,1983
30.361647,-97.609216,2003
30.290921,-97.958303,1991
30.352532,-97.794273,1995
30.369821,-97.994042,1976
30.293978,-97.699786,2015
30.11334,-97.703292,1990
30.298529,-97.710965,1959
30.2124,-97.7081,2014
30.163901,-97.737073,1995
30.427679,-97.87199,1999
30.206619,-97.740276,2016
30.47622,-97.643634,2000
30.381407,-97.678619,1954
30.428271,-97.844498,
30.306167,-97.528405,1995
30.202857,-97.546303,1970
30.12749,-97.825865,1984
30.340698,-97.756489,1956
30.319739,-97.529545,2005
30.303781,-97.638384,1996
30.257645,-97.570311,1995
30.356657,-98.00108,2006
30.282478,-97.459465,1994
30.067719,-97.780068,2004
30.294402,-97.946978,2016
30.50841,-97.729193,1992
30.280486,-97.696952,1960
30.324088,-97.849341,1994
30.373163,-97.933712,1998
30.437571,-97.906551,1965
30.261056,-97.844959,2004
30.315425,-97.966831,2006
30.437927,-97.503514,1948
30.495661,-97.597925,1974
30.395542,-97.976533,1999
30.363662,-97.849546,2000
30.241786,-97.904994,2006
30.308841,-97.852926,2009
30.289369,-97.643441,2015
30.341853,-97.70626,1974
30.198795,-97.511365,1978
30.105578,-97.685253,1992
30.424488,-97.692185,1977
30.142715,-97.54919,2002
30.257509,-97.755304,2015
30.137325,-97.492091,1987
30.153251,-97.849159,1999
30.384521,-97.938979,1998
30.219029,-97.906148,1976
30.156188,-97.789009,2004
30.286393,-97.696066,1941
30.30394,-97.499346,1983
30.366474,-97.745686,1970
30.223383,-97.899251,1973
30.474636,-97.91021,1960
30.435825,-97.78663,1972
30.269194,-97.679611,1972
30.130039,-97.629219,2003
30.29279,-97.953862,1985
30.319676,-97.783017,2015
30.391748,-97.895945,2011
30.513592,-97.715334,2016
30.363443,-97.835574,1999
30.339077,-97.990844,2000
30.291732,-97.945707,2016
30.243642,-97.998483,1997
30.311139,-97.862008,1996
30.373631,-97.703223,
30.49983,-97.596063,2014
30.536163,-97.637599,1996
30.344275,-97.477186,2004
30.448978,-97.76391,1993
30.433437,-97.909492,1979
30.419987,-97.692027,1979
30.289484,-97.953236,1994
30.310403,-97.829524,1983
30.384628,-97.975468,1981
30.27832,-97.705419,1949
30.149388,-97.78676,2007
30.003412,-97.800938,2000
30.154476,-97.596517,1999
30.271409,-97.821014,1998
30.299768,-97.461192,1995
30.374647,-97.796871,1982
30.321483,-97.83105,1983
30.337148,-97.870656,2015
30.415179,-97.919495,1972
30.292653,-97.898499,1985
30.463868,-97.934501,1993
30.310977,-97.731361,2008
30.20491,-97.817428,1975
30.36072,-97.783548,1983
30.360612,-97.784306,1983
30.440616,-97.522705,1900
30.319255,-97.813306,1994
30.257877,-97.846674,2001
30.294887,-98.018299,2007
30.375332,-97.701429,1974
30.414726,-97.868527,1970
30.170727,-97.812548,1970
30.186552,-97.814527,2000
30.442841,-97.649154,1972
30.338329,-97.781421,1992
30.517177,-97.769397,2009
30.244086,-97.972637,1977
30.322225,-97.768246,1957
30.383664,-97.829508,1995
30.160981,-97.782647,2004
30.200538,-97.748728,1982
30.318775,-97.749575,1965
30.145538,-97.85232,2013
30.319987,-97.682206,1961
30.300851,-97.711766,1948
30.274574,-97.648409,1957
30.399497,-97.649793,1998
30.378639,-97.813416,1992
30.431706,-97.785561,1991
30.280286,-97.804927,2014
30.13327,-97.566386,2009
30.31699,-97.805645,1970
30.250843,-97.917375,1984
30.468945,-97.61045,2012
30.177809,-97.619634,2016
30.226873,-97.899322,2002
30.382935,-97.908485,2014
30.42612,-97.682209,2002
30.371665,-97.718034,1982
30.234766,-97.701733,1970
30.08306,-97.700139,1985
30.398958,-97.931687,1958
30.445766,-97.769567,1983
30.225519,-97.836393,1982
30.490667,-97.81928,2007
30.452476,-97.668777,1999
30.305807,-97.853504,1986
30.276366,-97.461011,1970
30.069802,-97.730223,1997
30.286236,-97.839262,1980
30.275244,-97.822014,1981
30.493165,-97.580887,1997
30.123626,-97.597499,1998
30.490914,-97.904814,2005
30.344594,-97.52972,2006
30.294586,-97.509253,1977
30.357042,-97.674242,1971
30.498596,-97.789798,2003
30.403327,-97.7837,1970
30.544022,-97.705749,2004
30.540893,-97.649805,2001
30.267989,-97.81551,2009
30.123178,-97.814095,1961
30.365914,-97.851832,1998
30.30686,-97.858372,1987
30.455891,-97.787814,1977
30.146487,-97.611919,1918
30.45977,-97.647359,1979
30.304908,-97.991552,2001
30.25104,-97.932358,1978
30.540175,-97.806732,1977
30.516231,-97.841635,1960
30.510711,-97.723818,1984
30.438972,-97.913819,1962
30.377639,-97.500659,2000
30.315673,-97.669789,1964
30.218252,-97.808171,2002
30.215159,-97.876804,1997
30.296235,-97.518871,1992
30.292075,-97.75387,1963
30.174246,-97.591103,1995
30.502171,-97.76292,2004
30.250696,-97.997745,1985
30.140847,-97.80887,2009
30.404045,-97.910682,1978
30.334189,-97.953816,2005
30.508316,-97.748137,2003
30.32377,-97.786806,1995
30.421947,-97.516563,2002
30.161547,-97.810186,2002
30.283804,-97.831069,1980
30.373995,-97.973943,1987
30.084477,-97.662339,1998
30.309781,-97.656112,1974
30.475045,-97.824978,1999
30.302413,-97.958483,2005
30.159549,-97.78028,2004
30.365361,-97.960659,2003
30.483766,-97.916905,1960
30.275986,-97.779289,1995
30.216308,-97.788784,1972
30.362963,-97.904355,2004
30.209696,-97.761505,2005
30.384646,-97.601682,1999
30.332619,-97.780314,1987
30.311892,-97.518532,1986
30.396647,-97.765859,1995
30.41318,-97.569351,1983
30.067202,-97.757129,1999
30.451134,-97.623525,2003
30.273992,-97.854655,1998
30.190555,-97.842564,1993
30.420798,-97.961829,2005
30.200013,-97.553605,1984
30.246721,-97.739947,1955
30.284201,-97.876874,1996
30.368322,-97.941526,2003
30.201115,-97.693935,2008
30.082414,-97.658839,1998
30.453952,-97.81239,1980
30.322741,-97.843808,1989
30.255594,-97.688614,1985
30.039586,-97.89428,1994
30.302597,-98.015581,2006
30.368405,-97.748202,1983
30.21488,-97.570976,1984
30.339769,-97.910653,2009
30.522506,-97.847025,1997
30.285127,-97.752039,1913
30.343131,-97.734245,1962
30.132987,-97.891788,2005
30.228317,-97.991434,2006
30.293679,-97.963129,1992
30.253732,-97.645448,1962
30.441483,-97.521445,1924
30.418279,-97.900616,1971
30.318845,-97.85049,1996
30.423509,-97.620218,2001
30.258621,-97.778444,1965
30.439813,-97.649223,1976
30.430616,-97.71578,1979
30.012392,-97.83845,2006
30.458989,-97.648107,1980
30.248224,-97.930116,1957
30.437108,-97.820068,1993
30.50017,-97.602237,1996
30.465407,-97.765548,2010
30.436267,-97.796857,2001
30.389035,-97.798618,1993
30.309872,-97.797194,1986
30.500573,-97.704977,1987
30.292787,-97.806971,2011
30.29838,-97.862884,1980
30.19126,-97.743828,1977
30.463121,-97.642628,1993
30.10686,-97.748721,2001
30.260029,-97.776237,1964
30.016802,-97.826169,
30.265621,-97.690605,2015
