Latitude,Longitude,School Name,School Address,School Rating,zipcode
30.234128000000002,-97.58546700000001,Joseph Gilbert Elementary School,"5412 Gilbert Road, Austin, TX  78724",4,78724
30.228638,-97.954872,Baldwin Elementary School,"12200 Meridian Park Boulevard, Austin, TX  78739",8,78739
30.136722999999996,-97.661962,Popham Elementary School,"7014 Elroy Road, Austin, TX  78617",3,78617
30.519695000000002,-97.712518,Fern Bluff Elementary School,"17815 Park Valley Drive, Round Rock, TX  78681",10,78681
30.138170000000002,-97.553373,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4,78617
30.291210999999997,-97.89989,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10,78733
30.115178999999998,-97.67404,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3,78747
30.416286,-97.691808,River Oaks Elementary School,"12401 Scofield Farms Drive, Austin, TX  78758",5,78758
30.474403999999996,-97.566496,Rowe Lane Elementary School,"3112 Speidel Drive, Pflugerville, TX  78660",9,78660
30.114086,-97.704758,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3,78747
30.406867,-97.629768,Dessau Elementary School,"1501 Dessau Ridge Lane, Austin, TX  78754",5,78754
30.281308000000003,-97.935216,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10,78733
30.136692,-97.5809,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4,78617
30.302260999999998,-97.47865999999999,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4,78653
30.326277,-97.772784,Highland Park Elementary School,"4900 Fairview Drive, Austin, TX  78731",9,78731
30.435939,-97.872681,Grandview Hills Elementary School,"12024 Vista Parke Drive, Austin, TX  78726",6,78726
30.440137,-97.650887,Springhill Elementary School,"600 South Heatherwilde Boulevard, Pflugerville, TX  78660",5,78660
30.364311999999998,-97.96984599999999,Lago Vista Elementary School,"20311 Dawn Dr, Lago Vista, TX 78645",7,78645
30.317849,-97.814495,Valley View Elementary School,"360 Loop Court, Austin, TX  78746",9,78746
30.359994,-97.992013,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8,78738
30.471391999999998,-97.854977,Deer Creek Elementary School,"2420 Zeppelin Drive, Cedar Park, TX  78613",9,78613
30.152984999999997,-97.737266,Palm Elementary School,"7601 Dixie Drive, Austin, TX  78744",6,78744
