,Offense Desc,Offense Category,Address,lat,lng,Severity
2120,THEFT OF METAL                ,Theft,1901 E 51ST ST 78723,30.300252,-97.6956317,1
2121,THEFT BY SHOPLIFTING          ,Theft,1701 E WILLIAM CANNON DR 78744,30.1886275,-97.7675197,1
2122,BURGLARY OF VEHICLE           ,Theft,2903 BURNING OAK DR 78704,30.2392779,-97.7728054,3
2123,THEFT BY SHOPLIFTING          ,Theft,10107 RESEARCH BLVD NB 78759,30.3927847,-97.7439653,1
2124,THEFT                         ,Theft,9856 CHILDRESS DR 78753,30.3593538,-97.6768761,1
2125,THEFT                         ,Theft,2241 S IH 35 SVRD NB 78741,30.1556635,-97.7932926,1
2126,THEFT BY SHOPLIFTING          ,Theft,500 CANYON RIDGE DR 78753,30.4045635,-97.6727182,1
2127,THEFT                         ,Theft,12429 SCOFIELD FARMS DR 78758,30.41008,-97.686567,1
2128,BURGLARY OF VEHICLE           ,Theft,1300 S PLEASANT VALLEY RD 78741,30.24047,-97.719682,3
2129,THEFT                         ,Theft,12345 LAMPLIGHT VILLAGE AVE 78758,30.4119356,-97.6945803,1
2130,BREACH OF COMPUTER SECURITY   ,Theft,605 ORLAND BLVD 78745,30.2160592,-97.7767964,1
2131,THEFT                         ,Theft,7100 N IH 35 SB 78752,30.332461,-97.705987,1
2132,THEFT                         ,Theft,1011 RUTLAND DR 78758,30.3672102,-97.7011027,1
2133,THEFT                         ,Theft,10311 LAREDO DR 78748,30.1669377,-97.8258532,1
2134,THEFT BY SHOPLIFTING          ,Theft,1706 E WILLIAM CANNON DR 78744,30.1894118,-97.7673024,1
2135,BURGLARY OF VEHICLE           ,Theft,1011 GREAT BRITAIN BLVD 78748,30.180342,-97.8062692,3
2136,THEFT                         ,Theft,701 WOODWARD ST 78704,30.2254079,-97.7521125,1
2137,BURGLARY OF VEHICLE           ,Theft,1030 NORWOOD PARK BLVD 78753,30.3393609,-97.6908244,3
2138,THEFT                         ,Theft,12989 N US 183 HWY SVRD NB 78729,30.4386126,-97.7762751,1
2139,THEFT                         ,Theft,8803 CLAREWOOD DR 78758,30.3624639,-97.7129668,1
2140,FORCED SODOMY                 ,Rape,,37.2256055,-95.7162018,6
2141,THEFT                         ,Theft,10100 N CAPITAL OF TEXAS HWY SB 78759,30.3908116,-97.7364506,1
2142,THEFT OF BICYCLE              ,Theft,2508 E RIVERSIDE DR 78741,30.2364302,-97.7221515,1
2143,BURGLARY OF VEHICLE           ,Theft,9901 PLOVER DR 78753,30.3661545,-97.6906147,3
2144,BURGLARY OF VEHICLE           ,Theft,111 E CESAR CHAVEZ ST 78701,30.2626651,-97.7436224,3
2145,THEFT FROM AUTO               ,Theft,6214 E RIVERSIDE DR 78741,30.2253437,-97.7034864,1
2146,THEFT OF LICENSE PLATE        ,Theft,525 N LAMAR BLVD 78703,30.2706071,-97.7532586,1
2147,THEFT                         ,Theft,12300 DRUMMOND DR 78653,30.3709312,-97.6134791,1
2148,THEFT FROM AUTO               ,Theft,2520 ELMONT DR 78741,30.2397844,-97.7203484,1
2149,THEFT                         ,Theft,5863 E MARTIN LUTHER KING JR BLVD 78721,30.2858073,-97.6651757,1
2150,BURGLARY OF VEHICLE           ,Theft,8312 N IH 35 SVRD SB 78753,30.3470435,-97.6970982,3
2151,THEFT                         ,Theft,W WILLIAM CANNON DR / S CONGRESS AVE 78745,30.1931086,-97.7788344,1
2152,THEFT BY SHOPLIFTING          ,Theft,6607 S IH 35 SVRD NB 78744,30.188724,-97.768718,1
2153,THEFT BY SHOPLIFTING          ,Theft,1201 BARBARA JORDAN BLVD 78723,30.3056385,-97.7099309,1
2154,THEFT                         ,Theft,6214 E RIVERSIDE DR 78741,30.2253437,-97.7034864,1
2155,BURGLARY OF VEHICLE           ,Theft,2700 S 1ST ST 78704,30.238046,-97.7626165,3
2156,THEFT                         ,Theft,501 E POWELL LN 78753,30.3452898,-97.6995598,1
2157,THEFT BY SHOPLIFTING          ,Theft,863 AIRPORT BLVD 78721,30.2592195,-97.6930743,1
2158,THEFT BY SHOPLIFTING          ,Theft,4211 S LAMAR BLVD NB 78704,30.2338749,-97.7930733,1
2159,THEFT                         ,Theft,9700 RESEARCH BLVD NB 78759,30.394074,-97.7469096,1
2160,BURGLARY OF VEHICLE           ,Theft,1402 HILLMONT ST 78704,30.2601529,-97.7599422,3
2161,THEFT BY SHOPLIFTING          ,Theft,2300 W BEN WHITE BLVD EB 78745,30.2334435,-97.7915789,1
2162,THEFT                         ,Theft,615 RED RIVER ST 78701,30.2671738,-97.736684,1
2163,BURGLARY OF VEHICLE           ,Theft,11118 DESSAU RD 78753,30.371068,-97.6675702,3
2164,THEFT                         ,Theft,8010 BRODIE LN 78749,30.202901,-97.8379808,1
2165,BURGLARY OF COIN-OP MACHINE   ,Theft,9306 N LAMAR BLVD 78758,30.3621522,-97.6986238,1
2166,BURGLARY OF VEHICLE           ,Theft,8116 LADERA VERDE DR 78739,30.1996425,-97.9184114,3
2167,BURGLARY OF VEHICLE           ,Theft,3612 TUDOR BLVD 78759,30.3845726,-97.7368896,3
2168,BURGLARY OF VEHICLE           ,Theft,9400 ARBORETUM BLVD 78759,30.3891184,-97.7529172,3
2169,THEFT BY SHOPLIFTING          ,Theft,1000 E 41ST ST 78751,30.2998354,-97.7199409,1
2170,BURGLARY OF VEHICLE           ,Theft,9013 SHEPARD DR 78753,30.35968,-97.6979312,3
2171,BURGLARY OF VEHICLE           ,Theft,12351 N IH 35 SVRD NB 78753,30.4012279,-97.6729543,3
2172,BURGLARY OF VEHICLE           ,Theft,10800 LAKELINE BLVD 78717,30.4824757,-97.7935774,3
2173,THEFT                         ,Theft,1407 BROADMOOR DR 78723,30.3083919,-97.7022352,1
2174,BURGLARY OF RESIDENCE         ,Burglary,5901 E STASSNEY LN 78744,30.1901531,-97.7326845,2
2175,BURGLARY OF RESIDENCE         ,Burglary,11625 RYDALWATER LN 78754,30.3539628,-97.6129678,2
2176,AUTO THEFT                    ,Auto Theft,1650 RUTLAND DR 78758,30.3725897,-97.7121319,3
2177,THEFT                         ,Theft,300 E OLTORF ST 78704,30.2384445,-97.7519197,1
